,created_at,text,Clean,Hashtags,Mentions,Hour,Sentiment,Sentiment_Label,Sentiment_Score
197,2020-03-29T00:00:08,"Join #HispanicPro for #COVID19 and the workforce webinar Thursday, April 02 &gt;&gt; https://t.co/nZliPo4eUW #jobs #careers #coronavirus #employee #rights #benefits https://t.co/s0GtioL5Pe",join hispanicpro covid workforce webinar thursday april jobs careers coronavirus employee rights benefits,"['HispanicPro', 'COVID19', 'jobs', 'careers', 'coronavirus', 'employee', 'rights', 'benefits']",[],0,"{'label': 'NEGATIVE', 'score': 0.9587724208831787}",NEGATIVE,-0.9587724208831787
502,2020-03-29T00:00:42,"While some are doing virtual learning, we are doing creative learning. #Covid_19 #QuarantineLife #QuarantineActivities https://t.co/0c3c54gY9f",virtual learning creative learning covid quarantinelife quarantineactivities,"['Covid_19', 'QuarantineLife', 'QuarantineActivities']",[],0,"{'label': 'NEGATIVE', 'score': 0.7750566005706787}",NEGATIVE,-0.7750566005706787
1822,2020-03-29T00:04:45,"@DrBeniRusani @bishrlhfi ""The frontline of this epidemic is you, the people in the community, tasker with the challenge of keeping us (hospital staff) all safe""

#COVID19 https://t.co/QHNMUUXKlb",drbenirusani bishrlhfi frontline epidemic people community tasker challenge keeping hospital staff safe covid,['COVID19'],"['DrBeniRusani', 'bishrlhfi']",0,"{'label': 'NEGATIVE', 'score': 0.9709550738334656}",NEGATIVE,-0.9709550738334656
2398,2020-03-29T00:06:35,"You do not need to do ANYTHING to receive the stimulus benefits from the government.

If you receive a call or email asking for your account info (or ANY information) to receive money or benefits:

HANG UP or DELETE the message

#COVID19 #Stimuluscheck #PhoneScam #CoronaLockdown https://t.co/S7cNncQzX7",not need anything receive stimulus benefits government receive call email asking account info information receive money benefits hang delete message covid stimuluscheck phonescam coronalockdown,"['COVID19', 'Stimuluscheck', 'PhoneScam', 'CoronaLockdown']",[],0,"{'label': 'NEGATIVE', 'score': 0.9986960291862488}",NEGATIVE,-0.9986960291862488
2413,2020-03-29T00:06:38,@BenefitsGOV can we talk about extending COBRA beyond 18 months????? #Covid_19 #Health #CoronaLockdown #UnemploymentInsurance #unemploymentbenefits,benefitsgov talk extending cobra beyond months covid health coronalockdown unemploymentinsurance unemploymentbenefits,"['Covid_19', 'Health', 'CoronaLockdown', 'UnemploymentInsurance', 'unemploymentbenefits']",['BenefitsGOV'],0,"{'label': 'NEGATIVE', 'score': 0.9734805226325989}",NEGATIVE,-0.9734805226325989
2703,2020-03-29T00:07:28,"New Florida #Coronavirus deaths also occurred in:
Miami-Dade: +1
Broward: +1
Unassigned: +8
#CoronaUpdate https://t.co/C30HbPQStj",new florida coronavirus deaths also occurred miami dade broward unassigned coronaupdate,"['Coronavirus', 'CoronaUpdate']",[],0,"{'label': 'NEGATIVE', 'score': 0.9971092343330383}",NEGATIVE,-0.9971092343330383
2971,2020-03-29T00:08:19,@PublicHealthPod @jgreene2 @histgeoghealth The “ending” of the 2018 mock pandemic exercise hosted by @JHSPH_CHS wasn’t pretty - 150 million dead. And the scenario was eerily similar to our current reality. A Novel SARS like respiratory virus. #covid19 https://t.co/xpJHz8S95D,publichealthpod jgreene histgeoghealth ending mock pandemic exercise hosted jhsph chs pretty million dead scenario eerily similar current reality novel sars like respiratory virus covid,['covid19'],"['PublicHealthPod', 'jgreene2', 'histgeoghealth', 'JHSPH_CHS']",0,"{'label': 'NEGATIVE', 'score': 0.9975196719169617}",NEGATIVE,-0.9975196719169617
3121,2020-03-29T00:08:50,"#NHSP continues to practice #socialdistancing by conducting weekly staff meetings by phone. This meeting supplied an update to #TroopD supervisors on #COVID19, the state police response and provided an opportunity to check in on the well being of troopers and their families. https://t.co/TnBfrZkJ5m",nhsp continues practice socialdistancing conducting weekly staff meetings phone meeting supplied update troopd supervisors covid state police response provided opportunity check well troopers families,"['NHSP', 'socialdistancing', 'TroopD', 'COVID19']",[],0,"{'label': 'NEGATIVE', 'score': 0.7219829559326172}",NEGATIVE,-0.7219829559326172
3148,2020-03-29T00:08:55,This is how we self quarantine on Saturday night. #COVID19 #selfisolating https://t.co/VBWrQcN7WH,self quarantine saturday night covid selfisolating,"['COVID19', 'selfisolating']",[],0,"{'label': 'NEGATIVE', 'score': 0.9965620636940002}",NEGATIVE,-0.9965620636940002
3505,2020-03-29T00:09:57,"@lvn11 @Brotatopics @real_defender Dr. David Price, a #NY doctor working exclusively with #COVID19 patients offers some realistic information that may help calm fears from #MSM spreading false information. He tells HOW it is contracted and whether you should be scared. He says #StayHome

https://t.co/0yPusnKDoS",lvn brotatopics real defender david price doctor working exclusively covid patients offers realistic information may help calm fears msm spreading false information tells contracted whether scared says stayhome,"['NY', 'COVID19', 'MSM', 'StayHome']","['lvn11', 'Brotatopics', 'real_defender']",0,"{'label': 'NEGATIVE', 'score': 0.9848026633262634}",NEGATIVE,-0.9848026633262634
4072,2020-03-29T00:11:44,"@Education4Libs I hope that hydroxychloroquine is proven effective to treat #coronavirus in clinical trials. But it’s still unproven to treat #COVID19, according to scientists. And because Trump is pushing it, now there’s a dangerous shortage of drugs for #lupus patients. https://t.co/lnixHS1051",education libs hope hydroxychloroquine proven effective treat coronavirus clinical trials still unproven treat covid according scientists trump pushing dangerous shortage drugs lupus patients,"['coronavirus', 'COVID19', 'lupus']",['Education4Libs'],0,"{'label': 'NEGATIVE', 'score': 0.9857542514801025}",NEGATIVE,-0.9857542514801025
